"species","mom_id","lma","fwc","lwr"
"venusta",1,0.010773481,2.333333333,2.320621469
"venusta",1,0.009934641,2.421052632,1.916129032
"venusta",1,0.012225275,2.483146067,1.840052016
"venusta",1,0.010377358,2.636363636,2.043316832
"venusta",1,0.012772277,2.643410853,1.821235103
"venusta",1,0.012136929,2.675213675,2.534914361
"venusta",1,0.009883721,2.676470588,2.390855457
"venusta",1,0.010169492,2.782051282,2.053191489
"venusta",1,0.009954058,3,2.791666667
"venusta",1,0.010678925,3.039735099,2.948419301
"venusta",1,0.009822485,3.156626506,2.578838174
"venusta",1,0.008940397,3.222222222,2.298701299
"venusta",1,0.007272727,3.5,2.051948052
"venusta",1,0.008140304,3.715447154,2.095703125
"venusta",1,0.006759099,3.871794872,2.578747628
"venusta",2,0.016742081,1.567567568,1.905525847
"venusta",2,0.012693727,2.081395349,2.125490196
"venusta",2,0.013714286,2.125,2.240418118
"venusta",2,0.013213703,2.271604938,2.437641723
"venusta",2,0.014161392,2.351955307,2.07495069
"venusta",2,0.013991031,2.397435897,2.057971014
"venusta",2,0.010604805,2.4375,2.210752688
"venusta",2,0.009493671,2.933333333,3.740147783
"venusta",2,0.01125158,3.04494382,2.419191919
"venusta",2,0.00778781,3.057971014,2.709141274
"venusta",2,0.011223629,3.060150376,2.838461538
"venusta",2,0.009160839,3.122137405,2.605434783
"venusta",2,0.010379597,3.285714286,2.4425023
"venusta",2,0.008635997,3.53271028,1.788489209
"venusta",2,0.008158683,3.587155963,2.769751693
"venusta",2,0.008144006,3.935622318,2.503612717
"venusta",2,NA,NA,NA
"punctata",1,0.013006757,1.337662338,2.329652997
"punctata",1,0.007428571,1.820512821,2.13509061
"punctata",1,0.014846305,1.863436123,1.481184948
"punctata",1,0.011041405,1.954545455,1.772052402
"punctata",1,0.011693989,2.177570093,2.104534005
"punctata",1,0.00972691,2.627760252,2.092139175
"punctata",1,0.007492997,2.644859813,2.373216246
"punctata",1,0.008704663,3.206349206,2.222222222
"punctata",1,NA,NA,NA
"punctata",2,0.019547325,1.105263158,1.823602484
"punctata",2,0.01411549,1.402597403,1.720081136
"punctata",2,0.013448845,1.515337423,2.084061135
"punctata",2,0.008715184,1.783505155,2.232142857
"punctata",2,0.00722973,2.177570093,2.191848907
"punctata",2,0.009160305,2.194444444,1.97311828
"punctata",2,0.010060211,2.790523691,2.605263158
"punctata",2,NA,NA,NA
"punctata",2,NA,NA,NA
"punctata",2,NA,NA,NA
"punctata",2,NA,NA,NA
"punctata",3,0.013668555,1.74611399,2.358719647
"punctata",3,0.012756757,1.796610169,2.076260763
"punctata",3,0.00984564,1.881355932,2.200158228
"punctata",3,0.008800774,2.021978022,2.407955597
"punctata",3,0.00872954,2.035714286,2.179025424
"punctata",3,0.010365854,2.176470588,2.026515152
"punctata",3,0.00857538,2.387096774,2.419614148
"punctata",3,0.007237814,2.401360544,2.433453237
"punctata",3,0.008948864,2.439153439,2.281400966
"punctata",3,0.006245297,3.096385542,2.078411405
"punctata",3,0.008258993,3.111498258,2.221710526
"punctata",3,0.005987742,3.724409449,2.996910402
"punctata",3,NA,NA,NA
"punctata",3,NA,NA,NA
"punctata",3,NA,NA,NA
"punctata",3,NA,NA,NA
"venusta",3,0.015580737,1.727272727,1.674907293
"venusta",3,0.009665428,1.948717949,2.015463918
"venusta",3,NA,NA,NA
"venusta",3,NA,NA,NA
"venusta",3,NA,NA,NA
"venusta",3,NA,NA,NA
"venusta",4,0.01468039,1.435424354,2.368277119
"venusta",4,0.019039451,1.702702703,2.19144385
"venusta",4,0.013346815,1.727272727,1.990407674
"venusta",4,0.016791745,2.072625698,1.646454265
"venusta",4,0.011025887,2.130434783,1.974011299
"venusta",4,0.01087963,2.191489362,1.994690265
"venusta",4,0.010214742,2.636363636,2.443929564
"venusta",4,0.012824011,2.723404255,1.875675676
"venusta",4,0.009930394,2.878504673,1.892938497
"venusta",4,0.007877041,3.146341463,1.964830012
"venusta",4,0.009634551,3.206896552,2.690949227
"venusta",4,0.010172745,3.27672956,1.970856102
"venusta",4,0.007098618,3.295302013,2.196046129
"venusta",4,0.00635514,3.411764706,1.726457399
"venusta",4,0.008892548,3.583333333,2.277998411
"venusta",4,0.005062241,3.918032787,2.057053942
"venusta",4,0.004196429,4.744680851,2.273255814
"venusta",4,NA,NA,NA
"venusta",4,NA,NA,NA
"venusta",4,NA,NA,NA
"punctata",4,0.014996115,1.74611399,2.108719053
"punctata",4,0.010282776,1.75,2.299132948
"punctata",4,0.011155698,1.949640288,1.755062681
"punctata",4,0.011778846,1.993197279,2.200657895
"punctata",4,0.010572988,2.290322581,2.245918367
"punctata",4,0.006957547,2.305084746,2.211483254
"punctata",4,0.009199237,2.523316062,2.561286001
"punctata",4,0.007209613,2.703703704,1.918010753
"punctata",4,0.008180919,2.776435045,2.198198198
"punctata",4,0.00807514,2.806646526,2.062312762
"punctata",4,0.007818393,2.914656772,2.192850423
"punctata",4,NA,NA,NA
"punctata",4,NA,NA,NA
"punctata",4,NA,NA,NA
"punctata",4,NA,NA,NA
"punctata",4,NA,NA,NA
"venusta",5,0.021437741,1.155688623,2.412280702
"venusta",5,0.01174668,1.869565217,2.063040791
"venusta",5,0.009904492,2.5,2.148335745
"venusta",5,0.011585366,2.552631579,2.609467456
"venusta",5,0.013233288,2.556701031,1.762803235
"venusta",5,0.011556886,2.575129534,2.059360731
"venusta",5,0.011779607,2.629032258,2.399429387
"venusta",5,0.011190476,2.687943262,2.472450176
"venusta",5,0.01088769,2.693693694,2.578747628
"venusta",5,0.010216718,2.696969697,2.253045923
"venusta",5,0.010875936,2.80239521,2.779635258
"venusta",5,0.007083717,2.896103896,2.185869565
"venusta",5,0.009851301,2.91509434,2.016042781
"venusta",5,0.009593777,2.963963964,2.521066208
"venusta",5,0.008614232,3.130434783,1.86031746
"venusta",5,0.007650765,3.235294118,2.173762946
"venusta",5,0.006954225,3.367088608,1.769585253
"venusta",5,0.009317099,3.431818182,2.345471522
"venusta",5,NA,NA,NA
"venusta",5,NA,NA,NA
"venusta",5,NA,NA,NA
"punctata",5,0.018490566,1.31292517,1.887515451
"punctata",5,0.012599119,1.937062937,2.297328688
"punctata",5,0.008136235,2.255813953,2.362113402
"punctata",5,0.006621704,3.351851852,2.259481038
"punctata",5,NA,NA,NA
"punctata",5,NA,NA,NA
"punctata",5,NA,NA,NA
"venusta",6,0.025762712,1.434210526,1.502386635
"venusta",6,0.0164,1.682926829,1.821917808
"venusta",6,0.014412137,1.98245614,1.91475827
"venusta",6,0.014232765,2.229166667,2.097607656
"venusta",6,0.011689587,2.445378151,2.083526682
"venusta",6,0.011940299,2.854166667,1.978956229
"venusta",6,0.009401198,3.140127389,2.383954155
"venusta",6,0.005688623,3.210526316,1.787148594
"venusta",6,0.009406176,3.393939394,2.271477663
"venusta",6,0.007905882,3.642857143,2.454465849
"venusta",6,0.00649943,3.912280702,2.139771283
"venusta",6,NA,NA,NA
"venusta",6,NA,NA,NA
"venusta",6,NA,NA,NA
"venusta",6,NA,NA,NA
"punctata",6,0.008852459,2.518518519,2.30976431
"punctata",6,0.005166052,2.571428571,3.068181818
"punctata",6,0.008341,2.639705882,2.222808174
"punctata",6,0.011690363,2.648648649,2.239255014
"punctata",6,NA,NA,NA
"punctata",6,NA,NA,NA
"punctata",6,NA,NA,NA
"punctata",6,NA,NA,NA
"punctata",7,0.010795455,1.828947368,1.867052023
"punctata",7,0.008742633,2.258426966,2.613266583
"punctata",7,0.00625,2.333333333,2.224852071
"punctata",7,0.010758621,2.461538462,1.84087969
"punctata",7,0.006523534,2.987341772,2.000773994
"punctata",7,0.004485488,3.117647059,1.926829268
"punctata",7,NA,NA,NA
"punctata",7,NA,NA,NA
"punctata",8,0.012281603,1.552301255,2.438931298
"punctata",8,0.013295615,1.659574468,2.705882353
"punctata",8,0.010096154,1.857142857,2.360197368
"punctata",8,0.006710311,3.024390244,2.877922078
"punctata",8,0.007057057,3.042553191,2.045977011
"punctata",8,0.006831517,3.049079755,1.878437048
"punctata",8,0.007452376,3.185393258,2.226105953
"punctata",8,0.005914972,3.375,1.97443609
"punctata",8,0.005531915,3.615384615,2.178756477
"punctata",8,0.006675063,3.716981132,2.216850829
"punctata",8,NA,NA,NA
"punctata",8,NA,NA,NA
"punctata",8,NA,NA,NA
"punctata",8,NA,NA,NA
"punctata",8,NA,NA,NA
"punctata",8,NA,NA,2.414988814
"punctata",8,NA,NA,NA
"venusta",7,0.018327606,1.25,1.789699571
"venusta",7,0.010732274,2.718411552,2.503115265
"venusta",7,0.007657658,2.725490196,2.169199595
"venusta",7,0.011087268,2.870967742,2.743531202
"venusta",7,0.009244567,3.067164179,2.490225564
"venusta",7,0.010510806,3.143302181,2.451977401
"venusta",7,0.007426857,3.242424242,2.627494457
"venusta",7,0.007863188,3.260089686,2.513318934
"venusta",7,0.006847545,3.528301887,1.888157895
"venusta",7,NA,NA,NA
"venusta",7,NA,NA,NA
"venusta",7,NA,NA,NA
"venusta",7,NA,NA,NA
"venusta",7,NA,NA,NA
"venusta",7,NA,NA,NA
"venusta",7,NA,NA,NA
"venusta",8,0.012305026,1.535211268,1.9728
"venusta",8,0.015678776,1.682926829,1.812807882
"venusta",8,0.013298429,1.834645669,1.911447084
"venusta",8,0.01175657,1.941176471,2.151260504
"venusta",8,0.010419907,2.134328358,2.227634195
"venusta",8,0.011691671,2.14159292,2.407671722
"venusta",8,0.009477612,2.385826772,2.21641791
"venusta",8,0.010046885,2.4,2.640786749
"venusta",8,0.011294353,2.539823009,2.392449517
"venusta",8,0.009822017,2.624161074,2.481595092
"venusta",8,0.009303882,2.669064748,2.699239957
"venusta",8,0.009223529,2.724489796,2.604237288
"venusta",8,0.009378882,2.774834437,2.297297297
"venusta",8,0.007663317,3.016393443,2.86169045
"venusta",8,0.005673759,3.6875,2.07800312
"venusta",8,NA,NA,NA
"punctata",9,0.018284637,1.010309278,1.827850877
"punctata",9,0.019735259,1.195121951,2.29105474
"punctata",9,0.012425021,1.620689655,2.167579409
"punctata",9,0.014013522,1.807017544,1.594987874
"punctata",9,0.008281389,2.333333333,NA
"punctata",9,0.010892587,2.333333333,1.941496599
"punctata",9,0.007641819,2.680981595,1.892481203
"punctata",9,0.006456393,3,2.656507937
"punctata",9,0.00850059,3.166666667,2.061077844
"punctata",9,NA,NA,NA
"punctata",9,NA,NA,NA
"punctata",9,NA,NA,NA
"punctata",9,NA,NA,NA
"punctata",10,0.008199446,2.175675676,2.342490842
"punctata",10,0.009567901,2.225806452,2.655251142
"punctata",10,0.006774194,2.333333333,2.610820244
"punctata",10,0.007025761,2.333333333,1.970890411
"punctata",10,0.008576642,2.510638298,2.505285412
"punctata",10,0.006875275,2.717948718,2.198198198
"punctata",10,0.007503566,2.726235741,2.119061936
"punctata",10,NA,NA,NA
"punctata",10,NA,NA,NA
"punctata",11,0.020810313,0.902654867,2.112
"punctata",11,0.018219895,1.068965517,2.030805687
"punctata",11,0.011385659,2.063829787,2.087979094
"punctata",11,0.009677419,2.106060606,1.9498998
"punctata",11,0.008883929,2.165829146,2.060126582
"punctata",11,0.008118619,2.173652695,2.056883759
"punctata",11,0.011909651,2.333333333,1.972248804
"punctata",11,0.008207792,2.35443038,2.363552266
"punctata",11,0.007649007,2.506493506,2.55404384
"punctata",11,0.00992272,2.520249221,2.5
"punctata",11,0.007880911,2.619047619,1.893504974
"punctata",11,0.00726817,2.706896552,1.774576271
"punctata",11,0.005863192,3.206349206,2.306465155
"punctata",11,NA,NA,NA
"punctata",11,NA,NA,NA
"punctata",11,NA,NA,NA
"punctata",11,NA,NA,NA
"punctata",12,0.017710843,1.040816327,1.874848117
"punctata",12,0.009764543,1.836879433,2.217777778
"punctata",12,0.010330579,2.066666667,2.188622754
"punctata",12,0.007229894,2.146067416,3.064968153
"punctata",12,0.011580595,2.265765766,2.147962382
"punctata",12,0.008910473,2.27014218,2.73655914
"punctata",12,0.009121968,2.632958801,1.976567884
"punctata",12,0.007016435,2.693693694,2.490312966
"punctata",12,0.006447453,2.8,2.533872599
"punctata",12,0.006591042,3.243323442,2.512507272
"punctata",12,NA,NA,NA
"punctata",13,0.012160695,0.964285714,1.953692115
"punctata",13,0.015591398,1.298850575,2.571186441
"punctata",13,0.015327869,1.459893048,2.304545455
"punctata",13,0.013642857,1.77486911,2.127470356
"punctata",13,0.013238968,1.830188679,1.895705521
"punctata",13,0.012246716,1.909090909,2.038510911
"punctata",13,0.012550607,2.010752688,2.112676056
"punctata",13,0.00906801,2.518518519,2.346892655
"punctata",13,0.01006135,2.68902439,2.327501058
"punctata",13,0.008791427,2.9503386,2.41442953
"punctata",13,0.007117617,3.444444444,2.930508475
"punctata",13,NA,NA,NA
"punctata",13,NA,NA,NA
"punctata",13,NA,NA,NA
"punctata",13,NA,NA,NA
"punctata",13,NA,NA,NA
"punctata",14,0.009575688,1.395209581,2.462365591
"punctata",14,0.014685844,1.422680412,1.849809886
"punctata",14,0.012842713,1.584269663,2.221893491
"punctata",14,0.013299784,2.027027027,1.950485437
"punctata",14,0.008219178,2.055555556,3.034042553
"punctata",14,0.006566604,2.428571429,2.19375
"punctata",14,0.008176101,2.461538462,2.551554828
"punctata",14,0.009061313,2.473053892,2.068863748
"punctata",14,0.005614973,2.571428571,1.745318352
"punctata",14,0.008202706,2.717277487,2.886064855
"punctata",14,0.004347826,2.80952381,2.130124777
"punctata",14,NA,NA,NA
"punctata",14,NA,NA,NA
"punctata",15,0.011163735,1.727272727,2.248736097
"punctata",15,0.014015748,1.921348315,2.31797235
"punctata",15,0.008115942,2.214285714,2.540935673
"punctata",15,0.010962567,2.333333333,2.31660693
"punctata",15,0.007422187,2.655913978,2.167533819
"punctata",15,0.007088745,2.664122137,2.364705882
"punctata",15,0.008423077,2.789954338,2.347222222
"punctata",15,0.007720232,2.918495298,2.272671942
"punctata",15,0.009437586,3.011627907,2.328145266
"punctata",15,NA,NA,NA
"punctata",15,NA,NA,NA
"punctata",15,NA,NA,NA
"punctata",16,0.010312316,1.628571429,2.082331175
"punctata",16,0.011476075,1.756183746,2.475288303
"punctata",16,0.013241379,1.916666667,1.567944251
"punctata",16,0.011192214,2.043478261,2.57472661
"punctata",16,0.009490196,2.05785124,1.751730959
"punctata",16,0.011483693,2.24,2.120063191
"punctata",16,0.009876543,2.359375,2.261452514
"punctata",16,0.010285714,2.555555556,2.337570621
"punctata",16,0.009479659,2.592814371,1.965320911
"punctata",16,NA,NA,NA
"punctata",16,NA,NA,NA
"punctata",16,NA,NA,NA
